,BIC,FSV,LLR,M,g,l,max_delta,max_ll,max_mu_hat,max_s2_t_hat,model,n,s2_FSV,s2_logdelta,time,PER_prob,SE_prob,linear_prob,pval,qval,max_ll_null
16,227.941926,0.115136040548,,4,Mbp,9.05213776043,8.03889166278,-102.849599738,-8.96333307474,9.33765205426,PER,260,0.000547054023486,0.047075043754,0.00149393081665,0.989543888136,0.0104561118644,2.87976665646e-20,1.62168611828e-06,0.00104775024859,-128.122645165
17,286.810928117,0.154442591307,,4,Nrsn1,9.05213776043,5.72673357464,-132.284100797,-3.32999059339,1.82467341204,PER,260,0.000633805149248,0.0350851143554,0.00146913528442,0.999999999469,5.30915911866e-10,9.06309353935e-27,2.60719183642e-06,0.00161428627872,-165.048198989
18,440.766380182,0.11887050568,,4,Igfbp5,9.05213776043,7.75347851989,-209.261826829,2.97264884836,1.09703680546,PER,260,0.000585060654658,0.0479000288656,0.00162696838379,0.998985856146,0.00101414385414,1.14563214476e-17,1.42270394001e-05,0.00660668142143,-231.546619209
19,423.075148477,0.70929550414,14.6308696594,4,Rab3b,0.675535261343,0.407188193594,-200.416210976,-2.93352124713,3.05921462303,SE,260,0.00467498927343,0.119270691734,0.00116515159607,0.000126784317962,0.999873215631,5.09968778302e-11,0.000130755111386,0.032987738977,-215.047080636
20,327.936191293,0.657447591719,14.2151466224,4,Necab2,0.675535261343,0.517650362126,-152.846732385,-6.16198034094,12.221010158,SE,260,0.00409956279446,0.0906580951582,0.00115489959717,0.283749769708,0.716250230208,8.38988218299e-11,0.000163052766798,0.0378588142908,-167.061879007
21,40.4992655925,0.701323291974,16.9743693515,4,Tspan7,0.675535261343,0.423110428037,-9.12826953424,-6.00612608953,11.8991574932,SE,260,0.00354003301076,0.0880235108964,0.00135397911072,1.16198725043e-08,0.99999998838,4.69959765116e-13,3.78878515209e-05,0.0135416816377,-26.1026388857
22,571.962278401,0.865678415854,25.9745494262,4,Cdr1,0.675535261343,0.154155793718,-274.859775939,-4.86163875193,9.0572643477,SE,260,0.00449417494252,0.305300429794,0.00218296051025,1.00350906981e-05,0.999989935166,2.97433289894e-08,3.45948059088e-07,0.000270567797792,-300.834325365
23,-916.625446924,0.924750713529,19.1506051759,4,4933405L10Rik,0.675535261343,0.0808441030567,469.434086724,0.793755072766,0.236625101702,SE,260,0.0144675215116,2.50266683526,0.00204586982727,1.63457939539e-16,1.0,6.05070881782e-15,1.20799197008e-05,0.00579056795978,450.283481548
24,-737.072131811,0.999954305419,25.8028009373,4,Taf7l,0.675535261343,4.53999297625e-05,379.657429168,0.759993883298,0.226635049227,SE,260,0.0141087702085,4893483.29496,0.00126600265503,4.3016528337e-22,1.0,1.00874740548e-20,3.78139323187e-07,0.000280957517128,353.85462823
25,-827.366851007,0.999954305419,14.8481519616,4,Gna14,0.675535261343,4.53999297625e-05,424.804788765,0.885009238826,0.30470761108,SE,260,0.000553016891046,191808.277984,0.00144386291504,1.64359390565e-13,0.999999999967,3.30270384442e-11,0.000116522183005,0.0309199935618,409.956636804
26,-827.366851007,0.999954305419,14.8481519616,4,Olfr635,0.675535261343,4.53999297625e-05,424.804788765,0.885009238826,0.30470761108,SE,260,0.000553016891046,191808.277984,0.00147199630737,1.64359390565e-13,0.999999999967,3.30270384442e-11,0.000116522183005,0.0309199935618,409.956636804
27,430.213551056,0.370186322454,14.0175962851,4,Pmepa1,1.13519024227,1.66123803586,-203.985412266,0.0769562686182,0.120571801839,SE,260,0.000700789340373,0.0146610267196,0.00151705741882,0.0489394010805,0.951060598754,1.65382409934e-10,0.000181107845793,0.040776705886,-218.003008551
28,316.13388041,0.527687647615,31.5435916235,4,Apc,1.13519024227,0.873961945036,-146.945576943,-3.92277130321,2.15521166591,SE,260,0.000421851008709,0.00793987153984,0.00134015083313,4.18249429541e-05,0.999958175057,1.05266493787e-25,1.9501288806e-08,3.21987946286e-05,-178.489168566
29,348.34677461,0.334516074593,16.0739763165,4,Penk,1.13519024227,1.94249864536,-163.052024043,-9.49179849335,10.3640715583,SE,260,0.00069931699518,0.0157558171647,0.00148797035217,0.116356269277,0.88364373072,2.51425521789e-12,6.09154166663e-05,0.0201156242591,-179.126000359
