,BIC,FSV,LLR,M,g,l,max_delta,max_ll,max_mu_hat,max_s2_t_hat,model,n,s2_FSV,s2_logdelta,time,PER_prob,SE_prob,linear_prob,pval,qval,max_ll_null
23,-204.871956025,0.999954344937,13.1807542297,4,KLHL15,0.641735813591,4.53999297625e-05,113.478899848,-1.30016979835,0.75565589172,SE,250,0.0441387730056,15335595.2268,0.00148105621338,7.88502245132e-11,0.99999999903,8.91565289656e-10,0.000282838897459,0.033670923191,100.298145619
24,243.22015093,0.807425539312,17.4673713002,4,ACTL8,0.641735813591,0.237160639263,-110.567153629,-1.82544436813,1.42117267147,SE,250,0.00742061818058,0.303639409118,0.00190496444702,1.34640832654e-10,0.999999999865,7.23024806645e-13,2.92281213334e-05,0.00636925349125,-128.034524929
25,163.350852057,0.774904223061,13.659243586,4,HPS3,0.641735813591,0.288845578377,-70.632504193,-1.93118781964,1.50591414002,SE,250,0.00908767953892,0.305981374262,0.00172209739685,1.81373060417e-08,0.999999647675,3.34187544022e-07,0.000219159767677,0.0292891331547,-84.291747779
26,393.039940934,0.88976197665,22.6834460028,4,HMGCS2,0.641735813591,0.123198091237,-185.477048631,-2.95687760334,3.82297422272,SE,250,0.00867917244586,0.799788322508,0.00198101997375,1.18163913229e-14,1.0,3.19853204833e-13,1.91006328254e-06,0.000598967893259,-208.160494634
27,-50.9012698703,0.882192357345,19.3154324574,4,ETV7,0.641735813591,0.132787311822,36.4935567709,-1.4701110962,0.920320759965,SE,250,0.013310075972,1.1050504408,0.00163292884827,1.54938032837e-13,1.0,4.18445928077e-15,1.10807134625e-05,0.00284929465974,17.1781243135
28,-170.261360812,0.999954344937,21.317264378,4,SSPO,0.641735813591,4.53999297625e-05,96.1736022417,-1.26415754068,0.720139657856,SE,250,0.00469665411964,1631807.62841,0.00102710723877,2.43194741408e-17,1.0,7.63607612498e-17,3.89210433571e-06,0.00113729057828,74.8563378638
29,136.396813224,0.999954344937,13.9728904374,4,GHRH,0.641735813591,4.53999297625e-05,-57.1554847762,-1.81130138324,1.52263717534,SE,250,0.00540483628909,1877858.76118,0.00185704231262,1.18166309541e-09,0.999999998617,2.01800622344e-10,0.000185465634434,0.0251003332833,-71.1283752137
30,-201.345464185,0.999954344937,44.0471555736,4,SNAP25,0.641735813591,4.53999297625e-05,111.715653928,-1.37160804976,0.838175417619,SE,250,0.000499545261295,173562.231186,0.000859975814819,2.18680679593e-35,1.0,1.38018590995e-36,3.20559134792e-11,3.74675345093e-08,67.6684983546
31,82.6127153238,0.91724063319,14.8364641214,4,C2orf40,0.641735813591,0.0897181434451,-30.2634358262,-1.40590157483,0.895858357365,SE,250,0.0448425462466,6.60208697358,0.00168490409851,9.79163421447e-09,0.999999990176,3.25103633839e-11,0.000117246499009,0.0184274708605,-45.0998999476
32,-88.5513555036,0.955161658473,14.7598882345,4,ZNF280C,0.641735813591,0.0466787334804,55.3185995875,-1.49672653058,0.98564510305,SE,250,0.0497096990993,21.4910295757,0.00157904624939,2.85246215416e-12,0.999999999959,3.78908887909e-11,0.0001221054817,0.0186894068835,40.558711353
33,-5.89376047232,0.795048381063,12.3516002348,4,SLX4,0.641735813591,0.256332810891,13.9898020719,-1.59639600048,1.0276640918,SE,250,0.0138837729068,0.524488438343,0.00170993804932,1.2628310326e-10,0.999999995193,4.68109175835e-09,0.000440608635864,0.048835389925,1.63820183707
34,36.0788554117,0.893411231756,15.2420066477,4,IL21R,0.641735813591,0.118633253148,-6.99650587014,-1.55409213628,1.04873273102,SE,250,0.0176243202681,1.71338040086,0.00186514854431,2.35523585162e-09,0.99999999763,1.44468126291e-11,9.45761795605e-05,0.0156996540983,-22.2385125178
35,-7.12059169572,0.999954344937,15.5334866881,4,TYW5,0.641735813591,4.53999297625e-05,14.6032176836,-1.46320359596,0.983699984283,SE,250,0.0109932339514,3819494.16877,0.0025098323822,1.73428123456e-12,0.99999999999,8.06483931473e-12,8.10565829168e-05,0.0140830336022,-0.93026900454
36,-214.208125561,0.999954344937,17.7455331547,4,WDR5B,0.641735813591,4.53999297625e-05,118.146984616,-1.3034639515,0.75830552404,SE,250,0.00368760519464,1281223.2142,0.00162601470947,1.14748729666e-13,1.0,9.6657722707e-14,2.5250968301e-05,0.00573632605772,100.401451462
37,63.4464474013,0.911044385873,12.8537717723,4,PAQR8,0.641735813591,0.0970912808339,-20.6803018649,-1.68601913444,1.24326896464,SE,250,0.0755151864767,9.85512174702,0.00146794319153,1.45835781763e-07,0.99999985245,1.7146142588e-09,0.000336799695009,0.0390111142228,-33.5340736372
38,-155.204361875,0.776055203951,20.675405022,4,ZNF880,0.641735813591,0.286942424631,88.6451027734,-1.39075112321,0.760450337814,SE,250,0.00346483653986,0.11737758894,0.00145602226257,2.58471668618e-15,1.0,2.75665351454e-16,5.44104276279e-06,0.0015207714522,67.9696977514
