BIC FSV LLR M g l max_delta max_ll max_mu_hat max_s2_t_hat model n s2_FSV s2_logdelta time PER_prob SE_prob linear_prob pval qval max_ll_null
27454.2316719 0.00840611181368  3 Grpr  2.36634988551 -13714.347565 -11.3342608118 7.05619265058 linear 4975 0.00108844731021 11.549241525 0.00305914878845 0.00793276366682 0.0409036531109 0.951163583222 0.0525580768993 0.0 -13715.422623
27930.7529914 4.13476320044e-11  3 Oprd1  485165195.41 -13952.6082247 -19.3406519694 8.0392524683e-07 linear 4975 2.57342624383e-10 1.08989834501e+11 0.00302195549011 0.00209546662493 0.0726420317898 0.925262501586 0.0840979210629 0.0 -13952.6082722
26513.1975503 4.13476320044e-11  3 Oxtr  485165195.41 -13243.8305042 -19.7017758709 8.24820251421e-07 linear 4975 2.39417767963e-10 1.01398293305e+11 0.00301814079285 0.0473915679408 0.000932590828321 0.95167584123 0.373456507652 0.0 -13243.8305515
27553.8182273 4.13476320044e-11  3 Traf4  485165195.41 -13764.1408427 -16.0583523475 5.6203794584e-07 linear 4975 2.12920631944e-10 90176217380.0 0.00353312492371 0.00119091985373 0.000429766887279 0.99837931326 0.53716754058 0.0 -13764.1408899
25052.5596832 0.00852760609831  3 Adora2a  2.33235028339 -12513.5115706 -4.59431365882 3.98884058308 linear 4975 0.000938327633529 9.67953987349 0.0030529499054 8.48316624393e-06 0.000203064420984 0.999788452411 0.17856936596 0.0 -12515.3158586
26111.9548977 4.13476320044e-11  3 Chat  485165195.41 -13043.2091779 -11.7675906381 3.08267583857e-07 linear 4975 2.81192225502e-10 1.19090625558e+11 0.00301599502563 0.0016025828164 0.000458551681541 0.997938865501 0.520223207453 0.0 -13043.2092254
25663.895749 0.00852055617374  3 Mki67  2.33429667254 -12819.1796035 -14.0849620918 5.79125348287 linear 4975 0.000930690742831 9.61637347048 0.00303292274475 3.07119023412e-05 0.000761311402806 0.999207976693 0.0964439476049 0.0 -12821.2767365
26061.8917804 0.00938718060036  3 Ramp3  2.11694244632 -13018.1776192 -17.3221348222 7.59843981275 linear 4975 0.000499351675051 4.26611749317 0.00303888320923 0.23635224938 0.0189593713856 0.744688379235 0.00310493362374 0.0 -13024.5016203
22448.7215737 4.13476320044e-11  3 Slc17a8  485165195.41 -11211.5925159 -6.66877020099 1.0260558073e-07 linear 4975 2.85996123528e-10 1.2112517406e+11 0.00305104255676 0.00116172638181 0.00103655325263 0.997801720367 0.364797091602 0.0 -11211.5925635
27039.8174993 0.00141987813463  4 Galr2 309.717372702 707.331227011 -13502.8843883 -19.2797681943 0.541184420689 PER 4975 3.35156281278e-07 0.121085338689 0.0143749713898 0.72240596687 0.000286239892003 0.277307793237 0.365733060584 0.0 -13507.6192554
